date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:18:29	4621516/4621516	---M--	200	added ('OK')	image/gif	date:Tue,%2013%20Aug%202019%2020:08:13%20GMT	http://cdn.shopify.com/s/files/1/1017/1847/files/giphy_large.gif?v=1507265183	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/giphy_large5946.gif	(from https://culturedabba.com/blogs/news/be-there)
15:18:29	792/792	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2013%20Aug%202019%2020:18:28%20GMT	https://pinterest.com/pin/create/button/?url=https://culturedabba.com/blogs/news/be-there%26media=//cdn.shopify.com/s/files/1/1017/1847/articles/giphy_1024x1024.gif?v=1507265224%26description=Be%20there%21	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/indexb155.html	(from http://pinterest.com/pin/create/button/?url=https://culturedabba.com/blogs/news/be-there&media=//cdn.shopify.com/s/files/1/1017/1847/articles/giphy_1024x1024.gif?v=1507265224&description=Be%20there!)
15:18:29	2792/2792	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:4058c4b3cb55adf47b67a8106cacc8d9	https://culturedabba.com/blogs/news/tagged/forgiveness.atom	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/forgiveness.atom	(from https://culturedabba.com/blogs/news/tagged/forgiveness)
15:18:30	1896/1896	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:8ae7d75a96390eeb25d9a51d5249b31b	https://culturedabba.com/blogs/news/tagged/peace.atom	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/peace.atom	(from https://culturedabba.com/blogs/news/tagged/peace)
15:19:30	4970773/4970773	---M--	200	added ('OK')	image/gif	date:Tue,%2013%20Aug%202019%2020:11:06%20GMT	http://cdn.shopify.com/s/files/1/1017/1847/files/giphy-downsized-large_large.gif?v=1507264711	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/giphy-downsized-large_large01f6.gif	(from https://culturedabba.com/blogs/news/believe)
15:19:30	828/828	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2013%20Aug%202019%2020:19:30%20GMT	https://pinterest.com/pin/create/button/?url=https://culturedabba.com/blogs/news/believe%26media=//cdn.shopify.com/s/files/1/1017/1847/articles/giphy-downsized-large_1024x1024.gif?v=1507264831%26description=Believe%21	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/indexb0b8.html	(from http://pinterest.com/pin/create/button/?url=https://culturedabba.com/blogs/news/believe&media=//cdn.shopify.com/s/files/1/1017/1847/articles/giphy-downsized-large_1024x1024.gif?v=1507264831&description=Believe!)
15:19:31	1368/1368	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:2942d029779ebf75847c8c5787a6c868	https://culturedabba.com/blogs/news/tagged/ahimsa.atom	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/ahimsa.atom	(from https://culturedabba.com/blogs/news/tagged/ahimsa)
15:19:31	1369/1369	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:f88a1266a3bfe124dc8ef51e0b3bf919	https://culturedabba.com/blogs/news/tagged/amnesty.atom	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/amnesty.atom	(from https://culturedabba.com/blogs/news/tagged/amnesty)
15:19:31	951/951	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2013%20Aug%202019%2020:19:30%20GMT	https://pinterest.com/pin/create/button/?url=https://culturedabba.com/blogs/news/forgiveness-in-four-steps%26media=//cdn.shopify.com/s/files/1/1017/1847/articles/Forgiveness_KeyNote.001_1024x1024.png?v=1507095190%26description=Forgiveness%20in%20four%20steps	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/indexd813.html	(from http://pinterest.com/pin/create/button/?url=https://culturedabba.com/blogs/news/forgiveness-in-four-steps&media=//cdn.shopify.com/s/files/1/1017/1847/articles/Forgiveness_KeyNote.001_1024x1024.png?v=1507095190&description=Forgiveness%20in%20four%20steps)
15:19:31	933/933	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2013%20Aug%202019%2020:19:30%20GMT	https://pinterest.com/pin/create/button/?url=https://culturedabba.com/blogs/news/the-ravana-within%26media=//cdn.shopify.com/s/files/1/1017/1847/articles/shutterstock_325338149_Converted_1024x1024.png?v=1506922803%26description=The%20Ravana%20within%21	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/index647c.html	(from http://pinterest.com/pin/create/button/?url=https://culturedabba.com/blogs/news/the-ravana-within&media=//cdn.shopify.com/s/files/1/1017/1847/articles/shutterstock_325338149_Converted_1024x1024.png?v=1506922803&description=The%20Ravana%20within!)
15:19:31	1967/1967	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:a12aaf571362202f00ba97aae17c1cf8	https://culturedabba.com/blogs/news/tagged/riddle.atom	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/riddle.atom	(from https://culturedabba.com/blogs/news/tagged/riddle)
